Requirement,Code,Question1,Question2,
,!(x == 2 && y > 4),Which of the following is the same as the code below?,What is the result of the given expression when x = 2 and y = 5?,
,1. Relevance to Learning Objectives: The question is relevant to the learning objectives of an introductory programming course.,3,5,
,2. Tracing or not: Is this a tracing question?,Yes,Yes,
,3. Clarity of the Question: The question presented is clear and the language used in the question easy to understand.,3,5,
,4. Difficulty Level: The difficulty level of the question is appropriate for an introductory programming course.,3,5,
,5. Relevance of the Question to the Given Code Snippet: The question is appropriately relate to the code snippet provided in the question.,2,5,
,6. Ability to Distinguish Human-Authored from Automatically Generated Questions: Can you tell if the question is human-authored or automatically generated?,AI-generated,Human-created,
,"7. I think this is a better tracing question. (Put an ""X"" in the corresponding cell for the better question)",,X,
,,,,
,"Animal[] a = { new Cat(), new Cow(), new Dog(), new Pig(), new Bird() }
",If you have a parent class Animal that has a method speak() which returns: Awk. Cat has a speak method that returns: Meow. Bird does not have a speak method. Dog has a speak method that returns: Woof. Pig does not have a speak method. Cow has a speak method that returns: Moo. What is the output from looping through the array a created below and asking each element to speak()?,Can you identify any limitations or issues in this code snippet regarding the addition or removal of animal types in the 'a' array?,
,1. Relevance to Learning Objectives: The question is relevant to the learning objectives of an introductory programming course.,5,1,
,2. Tracing or not: Is this a tracing question?,Yes,No,
,3. Clarity of the Question: The question presented is clear and the language used in the question easy to understand.,4,1,
,4. Difficulty Level: The difficulty level of the question is appropriate for an introductory programming course.,5,2,
,5. Relevance of the Question to the Given Code Snippet: The question is appropriately relate to the code snippet provided in the question.,5,1,
,6. Ability to Distinguish Human-Authored from Automatically Generated Questions: Can you tell if the question is human-authored or automatically generated?,Human-created,AI-generated,
,"7. I think this is a better tracing question. (Put an ""X"" in the corresponding cell for the better question)",X,,
,,,,
,"class Animal
{
    void someSound()
    {
        System.out.print(""Screeech "");
    }
}

class Cat extends Animal
{
    public Cat()
    {
        System.out.print(""Meow "");
        super.someSound();
    }
}

class Garfield extends Cat
{
    public Garfield()
    {
        System.out.print(""Lasagna "");
    }
}
public class MainClass
{
    public static void main(String[] args)
    {
        Garfield garfield = new Garfield();
    }
}
",What is the output of the following code?,What is the output of the code when executed?,
,1. Relevance to Learning Objectives: The question is relevant to the learning objectives of an introductory programming course.,5,5,
,2. Tracing or not: Is this a tracing question?,Yes,Yes,
,3. Clarity of the Question: The question presented is clear and the language used in the question easy to understand.,5,5,
,4. Difficulty Level: The difficulty level of the question is appropriate for an introductory programming course.,5,5,
,5. Relevance of the Question to the Given Code Snippet: The question is appropriately relate to the code snippet provided in the question.,4,4,
,6. Ability to Distinguish Human-Authored from Automatically Generated Questions: Can you tell if the question is human-authored or automatically generated?,Human-created,Human-created,
,"7. I think this is a better tracing question. (Put an ""X"" in the corresponding cell for the better question)",,X,
,,,,
,"double value = Math.random();
int num = (int) (value * 11) - 5;","Given the following code segment, what is the value of num when it finishes executing? Math.random() returns a random decimal number between 0 and up to 1, for example 0.4.",What is the output of this code if the randomly generated `value` is 0.5? What if the value is 0 or 1?,
,1. Relevance to Learning Objectives: The question is relevant to the learning objectives of an introductory programming course.,5,5,
,2. Tracing or not: Is this a tracing question?,Yes,Yes,
,3. Clarity of the Question: The question presented is clear and the language used in the question easy to understand.,5,5,
,4. Difficulty Level: The difficulty level of the question is appropriate for an introductory programming course.,5,5,
,5. Relevance of the Question to the Given Code Snippet: The question is appropriately relate to the code snippet provided in the question.,2,5,
,6. Ability to Distinguish Human-Authored from Automatically Generated Questions: Can you tell if the question is human-authored or automatically generated?,AI-generated,Human-created,
,"7. I think this is a better tracing question. (Put an ""X"" in the corresponding cell for the better question)",,X,
,,,,
,"for (int i = 0; i <= 8; i++)
{
   System.out.print(""*"");
}",How many times does the following method print a *?,Can you implement a nested loop to create a square pattern of asterisks with 8 rows and 8 columns?,
,1. Relevance to Learning Objectives: The question is relevant to the learning objectives of an introductory programming course.,5,5,
,2. Tracing or not: Is this a tracing question?,Yes,No,
,3. Clarity of the Question: The question presented is clear and the language used in the question easy to understand.,5,5,
,4. Difficulty Level: The difficulty level of the question is appropriate for an introductory programming course.,5,4,
,5. Relevance of the Question to the Given Code Snippet: The question is appropriately relate to the code snippet provided in the question.,5,5,
,6. Ability to Distinguish Human-Authored from Automatically Generated Questions: Can you tell if the question is human-authored or automatically generated?,AI-generated,Human-created,
,"7. I think this is a better tracing question. (Put an ""X"" in the corresponding cell for the better question)",X,,
,,,,
,"for (int i = 1; i <= 10; i++)
{
   System.out.print(i + "" "");
}",What does the following code print?,What is the scope of the variable `i` in this code snippet?,
